Make,Model,Color,License_Plate
Maruti,Swift,Grey,AS99LP9779
Volkswagen,Polo,White,CD42DO8815
Mahindra,Scorpio,Blue,OD38OO9407
Tata,Nexon,Grey,HR54DC2261
Toyota,Fortuner,Red,CG44AA1533
Kia,Seltos,Green,OD70IB7093
Ford,EcoSport,Red,MP54PY9668
Volkswagen,Polo,White,HR10JZ2643
Volkswagen,Polo,Grey,DD65MB9766
Ford,EcoSport,Green,NL55VN6083
Kia,Seltos,Blue,RJ44QM2954
Hyundai,i20,Grey,IND14OP9652
Ford,EcoSport,Grey,SK29LI6267
Maruti,Swift,Blue,HP76TK5882
Tata,Nexon,Yellow,MZ64PM9497
Honda,City,Black,WB64LY2134
Kia,Seltos,Black,TN89XF8247
Toyota,Fortuner,Blue,NL69PJ8214
Ford,EcoSport,Grey,TR13DW5783
Mahindra,Scorpio,White,TS95RY2632
Honda,City,Green,MH58SO5655
Tata,Nexon,Grey,IND32PS5964
Hyundai,i20,Green,DL99RB1633
Ford,EcoSport,White,GA81OI9067
Hyundai,i20,White,XX65FK7559
Honda,City,Green,CD84SO2088
Skoda,Rapid,Blue,CG11WV2855
Mahindra,Scorpio,Green,AR92TE7333
Honda,City,Blue,MH29WN7117
Volkswagen,Polo,Red,CD61QN5730
Maruti,Swift,Green,XX42MR2522
Toyota,Fortuner,Blue,PY40AD9932
Volkswagen,Polo,White,LD78RV1444
Ford,EcoSport,Grey,SK19QX6931
Toyota,Fortuner,Black,OD69EK2885
Ford,EcoSport,Black,MH36YJ9518
Hyundai,i20,Yellow,SK42VR9997
Honda,City,Black,AP90PY8153
Ford,EcoSport,Grey,CD74RK4069
Tata,Nexon,Yellow,TS65FG5582
Volkswagen,Polo,Green,CH39YC3570
Volkswagen,Polo,Grey,GJ88HX7030
Hyundai,i20,White,JK70MB4325
Volkswagen,Polo,White,MZ10FL8332
Ford,EcoSport,Red,LD72EG5667
Tata,Nexon,Grey,AP19BV2771
Honda,City,Grey,PY33CC6058
Ford,EcoSport,Yellow,PB44DM2355
Skoda,Rapid,Silver,UP62SF3829
Tata,Nexon,Silver,WB85ZJ4104
Honda,City,Silver,DL57LO8287
Skoda,Rapid,White,CH32UA6886
Toyota,Fortuner,Red,LA99XB5627
Ford,EcoSport,Grey,PB58PV6437
Tata,Nexon,Blue,TS22IE2584
Skoda,Rapid,Yellow,TN62SE7417
Hyundai,i20,White,TS23DF4490
Volkswagen,Polo,Blue,SK95XB1679
Honda,City,Green,HR91GW5814
Toyota,Fortuner,Black,TS78ON7393
Mahindra,Scorpio,Red,ML25IR7792
Honda,City,Blue,AR67SN7869
Hyundai,i20,Blue,MN68RV3247
Mahindra,Scorpio,Silver,DD34HD2557
Tata,Nexon,Yellow,UP40XV6657
Mahindra,Scorpio,Grey,TN92EX1115
Honda,City,Black,KL26VE4693
Kia,Seltos,Blue,OD83SX4327
Maruti,Swift,Blue,LA53CK4315
Maruti,Swift,Black,MZ70EF1716
Honda,City,Black,XX61KH4176
Honda,City,Grey,JK74QU5761
Maruti,Swift,Black,CH73WI9197
Skoda,Rapid,Yellow,TS56ZG1889
Maruti,Swift,Red,UN32EH8249
Tata,Nexon,Blue,MZ65LW7346
Volkswagen,Polo,Silver,HR19IA2183
Hyundai,i20,Black,MH47PF3150
Volkswagen,Polo,Yellow,LA39PH1296
Ford,EcoSport,Black,UP41NG9134
Tata,Nexon,Blue,HR58ZB5444
Ford,EcoSport,White,PB31ZN8877
Skoda,Rapid,Red,RJ20UW5012
Volkswagen,Polo,Blue,UK57QZ7422
Kia,Seltos,White,UK97XM8200
Skoda,Rapid,Yellow,BR47KT2664
Maruti,Swift,Silver,CG57BE9473
Mahindra,Scorpio,Black,HP26IG8004
Mahindra,Scorpio,Yellow,PB55OC8813
Volkswagen,Polo,Grey,GA34NI7571
Volkswagen,Polo,Grey,OD16JD8401
Ford,EcoSport,Blue,KL49HI7853
Honda,City,Green,KL50MP6417
Mahindra,Scorpio,Red,PB81GV6484
Tata,Nexon,Grey,PY54PR9881
Kia,Seltos,Blue,BH41QY9682
Hyundai,i20,Yellow,KA31PU8748
Maruti,Swift,Red,XX74JH2768
Skoda,Rapid,White,JK83XS4430
Maruti,Swift,Black,LA77VF4265
Honda,City,Red,GA56DG8675
Ford,EcoSport,Green,TS83ZI9541
Honda,City,Grey,RJ15VJ7801
Volkswagen,Polo,White,PB26HE7288
Mahindra,Scorpio,Red,UK69BC9452
Volkswagen,Polo,Green,DL14ZY5320
Honda,City,Yellow,KA80JX5319
Hyundai,i20,Silver,PY81LH3015
Kia,Seltos,Silver,NL91UR2573
Mahindra,Scorpio,Blue,HR19ET7594
Honda,City,Blue,GA65VJ8451
Maruti,Swift,Grey,CG36XM1081
Hyundai,i20,Grey,AR65KK6288
Volkswagen,Polo,Black,AR27WV1805
Mahindra,Scorpio,Yellow,AR96ZB6273
Mahindra,Scorpio,Grey,HR60BU2782
Mahindra,Scorpio,Grey,BH65BG7509
Volkswagen,Polo,Green,LA22FW5349
Volkswagen,Polo,Grey,OD74SJ2819
Honda,City,Blue,AP39CX6346
Ford,EcoSport,Grey,PB66XU3200
Skoda,Rapid,Black,BR14RR2171
Skoda,Rapid,Blue,SK36VI8843
Hyundai,i20,Green,PB34GU3357
Maruti,Swift,White,CH29JW6310
Tata,Nexon,Yellow,OD71YE4169
Kia,Seltos,Green,HP40TH2317
Kia,Seltos,Blue,UK38JA3831
Toyota,Fortuner,Black,GJ74FT2691
Tata,Nexon,Blue,LD18DQ8278
Kia,Seltos,Blue,TN98SH9112
Volkswagen,Polo,Silver,TN47VE7267
Tata,Nexon,Black,KA70HE5551
Hyundai,i20,Grey,TR71IG7673
Kia,Seltos,Blue,AS17FL4043
Mahindra,Scorpio,Red,NL80CJ8739
Honda,City,White,CG82SN1803
Toyota,Fortuner,Grey,RJ76UE6133
Skoda,Rapid,Red,XX99JU6516
Honda,City,Grey,JH70CP7907
Mahindra,Scorpio,White,KL33LK1733
Kia,Seltos,Grey,ML56ON3486
Ford,EcoSport,Grey,DL36LV2451
